product_name,prospectus_link
% 0.4 LİDODEKS % 5 DEKSTROZ İÇİNDE İ.V. İNFÜZYON İÇİN ÇÖZELTİ,https://titck.gov.tr/storage/kubKtAttachments/UvkJVg4Reg8DgW.pdf
% 0.8 LİDODEKS % 5 DEKSTROZ İÇİNDE İ.V. İNFÜZYON İÇİN ÇÖZELTİ,https://titck.gov.tr/storage/kubKtAttachments/Eyv3GvSC78TyGX.pdf
% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/48bbea0024441.pdf
% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/48bbea0024441.pdf
% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/48bbea0024441.pdf
"% 17,5 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU",https://titck.gov.tr/storage/kubKtAttachments/54bd3c1a30699.pdf
"% 17,5 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU",https://titck.gov.tr/storage/kubKtAttachments/54bd3c1a30699.pdf
% 20 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/1c48982056718.pdf
% 20 SODYUM KLORÜR ÇÖZELTİSİ İÇEREN AMPUL,https://titck.gov.tr/storage/kubKtAttachments/224e567a43179.pdf
% 30 DEKSYTROZ BİOSEL SUDAKİ HİPERTONİK SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/0b4bff0d76756.pdf
% 5 DEKSTROZ LAKTATLI RINGER SOLÜSYONU (CAM ŞIŞEDE),https://titck.gov.tr/storage/kubKtAttachments/0397069d78052.pdf
% 5 DEKSTROZ LAKTATLI RINGER SOLÜSYONU (MEDIFLEKS TORBA),https://titck.gov.tr/storage/kubKtAttachments/b08adba899966.pdf
% 50 DEKSTROZ BİOSEL SUDAKİ HİPERTONİK SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/5bbceda281083.pdf
%0.9 İZOTONİK SODYUM KLORÜR SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/
%0.9 İZOTONİK SODYUM KLORÜR SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/
%1.5 GLISIN İRIGASYON SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/629b3ece81873.pdf
%10 DEKSTROZ SUDAKI SOLÜSYONU (CAM),https://titck.gov.tr/storage/kubKtAttachments/9ed9813a71226.pdf
%10 DEKSTROZ SUDAKI SOLÜSYONU (MEDIFLEKS),https://titck.gov.tr/storage/kubKtAttachments/148cf28250962.pdf
%10 FREAMINE III ENJEKTABL AMIMOASIT SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/c415480e47649.pdf
%10 MANNİTOL ÇÖZELTİSİ,https://titck.gov.tr/storage/kubKtAttachments/axbNBV5VYMLO27.pdf
%20 MANNİTOL OSEL IV İNFÜZYONLUK ÇÖZELTİ,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/OselKT_25_09_2025.pdf
%3 HİPERTONİK SODYUM KLORÜR OSEL IV İNFÜZYONLUK ÇÖZELTİ,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/HipertonikKT_28_04_2025.pdf
%3 SODYUM KLORÜR SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/351debc560621.pdf
%30 DEKTROZ SUDAKI SOLÜSYONU (CAM ŞIŞEDE),https://titck.gov.tr/storage/kubKtAttachments/ed2d982165026.pdf
%30 DEKTROZ SUDAKI SOLÜSYONU (MEDIFLEKS TORBA),https://titck.gov.tr/storage/kubKtAttachments/83f4aa7c36914.pdf
"%5 DEKSTROZ , %0.45 SODYUM KLORÜR, %0.3 POTASYUM KLORÜR BIOSEL ENJEKTABL SOLÜSYONU",https://titck.gov.tr/storage/kubKtAttachments/95b5555c84422.pdf
"%5 DEKSTROZ , %0.9 SODYUM KLORÜR BIOSEL SOLÜSYONU",https://titck.gov.tr/storage/kubKtAttachments/048d666f71166.pdf
%5 DEKSTROZ %0.2 SODYUM KLORÜR BİOSEL ENJEKTABL SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/ONAJ2fT0PNoWgA.pdf
%5 DEKSTROZ %0.45 SODYUM KLORÜR BİOSEL SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/9f14008970677.pdf
%5 DEKSTROZ %0.45 SODYUM KLORÜR SOLÜSYONU (CAM),https://titck.gov.tr/storage/kubKtAttachments/bbf2719189111.pdf
%5 DEKSTROZ %0.45 SODYUM KLORÜR SOLÜSYONU (MEDIFLEKS),https://titck.gov.tr/storage/kubKtAttachments/60cf2aa884848.pdf
%5 DEKSTROZ BIOSEL SUDAKI SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/874c98c866589.pdf
%5 DEKSTROZ LAKTATLI RİNGER SOLÜSYONU (CAM ŞİŞEDE),https://titck.gov.tr/storage/kubKtAttachments/hi7rXN1n5spIJv.pdf
%5 DEKSTROZ LAKTATLI RİNGER SOLÜSYONU(MEDİFLEX TORBADA),https://titck.gov.tr/storage/kubKtAttachments/V2LbaTgW1XsyOm.pdf
%5 DEKSTROZ RINGER LAKTAT BIOSEL SOLÜSYONU,https://titck.gov.tr/storage/kubKtAttachments/cb064d6062286.pdf
%5 DEKTROZ SUDAKI SOLÜSYONU (CAM),https://titck.gov.tr/storage/kubKtAttachments/9619503518061.pdf
%5 DEKTROZ SUDAKI SOLÜSYONU (MEDIFLEKS),https://titck.gov.tr/storage/kubKtAttachments/14a31f4921218.pdf
%50 DEKSTROZ SUDAKI SOLÜSYONU (CAM ŞIŞEDE),https://titck.gov.tr/storage/kubKtAttachments/bc996e4899348.pdf
1/2 İZOTONİK SODYUM KLORÜR İZOTONİK DEKSTROZ ÇÖZELTİSİ,https://titck.gov.tr/storage/kubKtAttachments/oR0ljGbB0Ac7lJ.pdf
"1/3 İZODEKS (%3.33 DEKSTROZ %0,3 NACL SOLÜSYONU) (CAM)",https://titck.gov.tr/storage/kubKtAttachments/0f822b3a54612.pdf
"1/3 İZODEKS (%3.33 DEKSTROZ %0,3 NACL SOLÜSYONU) (MEDIFLEKS)",https://titck.gov.tr/storage/kubKtAttachments/6886811751793.pdf
1/3 İZOTONİK SODYUM KLORÜR İZOTONİK DEKSTROZ ÇÖZELTİSİ,https://titck.gov.tr/storage/kubKtAttachments/jUgiNDhjFefy2h.pdf
5- FU INJECTION 250 MG/ 5 ML,https://titck.gov.tr/storage/kubKtAttachments/6af6308b64660.pdf
5-FLUOROURACIL 1000 MG/20 ML ENJEKTABL ÇÖZELTI IÇEREN FLAKON,https://titck.gov.tr/storage/kubKtAttachments/394885fb25151.pdf
5-FLUOROURACIL 500 MG/10 ML ENJEKTABL ÇÖZELTI IÇEREN FLAKON,https://titck.gov.tr/storage/kubKtAttachments/3697019338710.pdf
5-FLUOROURACIL BIOSYN 1000 MG/20 ML AMPUL,https://titck.gov.tr/storage/kubKtAttachments/a799185b54887.pdf
5-FLUOROURACIL BIOSYN 250 MG/5 ML AMPUL,https://titck.gov.tr/storage/kubKtAttachments/897a396d58342.pdf
5-FLUOROURACIL BIOSYN 500 MG/10 ML AMPUL,https://titck.gov.tr/storage/kubKtAttachments/35b2694026148.pdf
5-Frotu 1000 mg/20 ml Enjeksiyonluk Çözelti İçeren Flakon,https://titck.gov.tr/storage/kubKtAttachments/i2PhC4XUX9aQdT.pdf
5-FROTU 500 MG/10 ML ENJEKSİYONLUK ÇÖZELTİ,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/5FROTU500mg10mlEnjeksiyonlukzeltiKT_13_06_2025.pdf
5-Frotu 5000 mg/100 ml Enjeksiyonluk Çözelti İçeren Flakon,https://titck.gov.tr/storage/kubKtAttachments/pESgsUnZZbIatd.pdf
A-FERİN 1 MG+160 MG/5 ML PEDİATRİK ŞURUP,https://titck.gov.tr/storage/Archive/2019/kubKtAttachments/T%C4%B0TCK%20A-FER%C4%B0N%20PED%C4%B0YATR%C4%B0K%20%C5%9EURUP%20SEND%C4%B0KA%20UYGUN%20KT.pdf_bcf29dfd-eef3-4546-b039-15f1566282ea.pdf
A-FERİN 300 MG/2 MG/10 MG KAPSÜL,https://titck.gov.tr/storage/Archive/2019/kubKtAttachments/T%C4%B0TCK%20A-FER%C4%B0N%20KAPS%C3%9CL%20SEND%C4%B0KA%20UYGUN%20KT.pdf_7f33906e-d401-4575-bf14-7f79c4744e6f.pdf
A-FERIN FORTE 500 MG/4 MG FILM KAPLı TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/aferinforte500mg4mgkt_24_02_2025.pdf
A-FERİN FORTE 650 MG/4 MG FİLM KAPLI TABLET,https://titck.gov.tr/storage/Archive/2021/kubKtAttachments/TTCKOnaylKTAFERNFORTTB1_0475276b-3a14-4a8b-b0f7-f442aaa14b4a.pdf
A-FERIN HOT TEK KULLANIMLIK TOZ IÇEREN POŞET,https://titck.gov.tr/storage/Archive/2024/kubKtAttachments/aferinhottemizkt_c175ea1f-899d-4410-827d-7a643e1f134a.pdf
A-FERİN PLUS 1 MG+15 MG+160 MG/5 ML PEDİYATRİK ŞURUP,https://titck.gov.tr/storage/Archive/2024/kubKtAttachments/aferinplusonerilenkullanmatalimatitemiz_d49ea622-03db-42b6-b756-9e180aaae9a9.pdf
"A-FERIN SINÜS 500 MG/30 MG/1,25 MG FILM KAPLI TABLET",https://titck.gov.tr/storage/Archive/2024/kubKtAttachments/AFERNSNSKT_1131a82f-c0c2-4baf-8236-53ec3d9dadc7.pdf
A-FERİN ZERO 120 MG/5 ML PEDİATRİK ŞURUP,https://titck.gov.tr/storage/Archive/2023/kubKtAttachments/AFERNDZELTKT_fb3a8c9f-1e54-42d0-8798-a406a8126b70.pdf
A-FERİN ZERO 6 PLUS 250 MG/5 ML ORAL SüSPANSIYON,https://titck.gov.tr/storage/Archive/2023/kubKtAttachments/KT_5863db6c-0c53-481e-837b-0144acb953fc.pdf
A-NOX FORT 550 MG TABLET,https://titck.gov.tr/storage/kubKtAttachments/1358bb6190207.pdf
A-PER 10 MG/ML I.V. İNFÜZYONLUK ÇÖZELTİ,https://titck.gov.tr/storage/Archive/2026/kubKtAttachments/APERKTTEMZ_15_04_2026.pdf
A-PER 120 MG/5 ML PEDİATRİK ŞURUP,https://titck.gov.tr/storage/kubKtAttachments/
A-PER 120 MG/5 ML PEDİATRİK ŞURUP,https://titck.gov.tr/storage/kubKtAttachments/312886d457003.pdf
"ABALEVO 1,5 MG TABLET",https://titck.gov.tr/storage/Archive/2021/kubKtAttachments/ABALEVOONAYLIkt_ae695d63-7835-49b1-8d92-e3fbf0a2849d.pdf
ABAVİR 245 MG FİLM KAPLI TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/AbavirKT_21_07_2025.pdf
ABDİ İBRAHİM MELATONİN 3 MG TABLET,https://titck.gov.tr/storage/Archive/2026/kubKtAttachments/XZ1312kttemiz_11_03_2026.pdf
ABDİ İBRAHİM MELATONİN 5 MG TABLET,https://titck.gov.tr/storage/Archive/2026/kubKtAttachments/XT1312kttemiz_11_03_2026.pdf
ABELCET 100MG/20ML IV İNFÜZYON İÇIN SÜSPANSIYON İÇEREN FLAKON,https://titck.gov.tr/storage/kubKtAttachments/e4711d0113982.pdf
ABETYL 250 MG TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/TTCKOnaylKTABETYL250MG_24_09_2025.pdf
ABETYL 500 MG FILM KAPLı TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/TTCKOnaylKTABETYL500MG_24_09_2025.pdf
ABEXTIN 2MG/ML ORAL ÇÖZELTI,https://titck.gov.tr/storage/kubKtAttachments/eb9cca0111849.pdf
ABHAYRAB 2.5 IU/0.5 MI IM/ID ENJEKSİYON İÇİN TOZ İÇEREN FLAKON,https://titck.gov.tr/storage/kubKtAttachments/FBane47MkVN5L9.pdf
ABHAYRAB 2.5 IU/0.5 ML IM/ID ENJEKSİYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN LİYOFİLİZE TOZ VE ÇÖZÜCÜ,https://titck.gov.tr/storage/Archive/2024/kubKtAttachments/Ek41312kttemiz_acf50257-d940-42d1-bfce-cd4d2cb4728d.pdf
ABİLİFY 1 MG/ML ORAL ÇÖZELTİ,https://titck.gov.tr/storage/Archive/2022/kubKtAttachments/kt1_70c1c6e5-416c-4328-9c8d-781423f36313.pdf
ABİLİFY 10 MG TABLET,https://titck.gov.tr/storage/Archive/2022/kubKtAttachments/kt10ONAY_04716759-a0fb-43b5-be6d-89a74d60a51a.pdf
ABİLİFY 15 MG TABLET,https://titck.gov.tr/storage/Archive/2022/kubKtAttachments/kt15_d26599cf-71c0-41ce-9f07-853aafb547ca.pdf
ABİLİFY 30 MG TABLET,https://titck.gov.tr/storage/Archive/2022/kubKtAttachments/kt30_11dba9ba-88bf-42cc-a571-dea2cf23d031.pdf
ABİLİFY 5 MG TABLET,https://titck.gov.tr/storage/Archive/2022/kubKtAttachments/Abilify5kt_4cf57c08-809d-4cf9-8bce-aa020fca2cac.pdf
ABILIFY 7.5MG/ML IM ENJEKSIYONLUK ÇÖZELTI İÇEREN FLAKON,https://titck.gov.tr/storage/Archive/2022/kubKtAttachments/Abilify7.5kt_2220bbcc-eaa4-4538-b041-d832a89d0bfa.pdf
ABİLİFY MAİNTENA 300 MG UZUN SALIMLI İM ENJEKSIYONLUK FLAKON,https://titck.gov.tr/storage/Archive/2022/kubKtAttachments/ONAYLIKT_6407d4f5-391a-4d66-a794-3b8b23c84a03.pdf
ABİLİFY MAİNTENA 400 MG UZUN SALIMLI İM ENJEKSIYONLUK FLAKON,https://titck.gov.tr/storage/Archive/2022/kubKtAttachments/ONAYLIKT_52f57d54-ec90-4cd6-90d5-48ecbcbf80e3.pdf
ABIRATEX 250 MG TABLET,https://titck.gov.tr/storage/Archive/2022/kubKtAttachments/TTCKOnaylKTABRATEX_e69a9b37-f88f-4ae0-a873-889bb89d435c.pdf
ABITIGA 250 MG TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/TTCKOnaylKTABTGA_01_12_2025.pdf
ABİZOL 1 MG/ ML ORAL ÇÖZELTİ,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/ABZOL1mgmLoralz.1312kt_15_04_2025.pdf
ABIZOL 10 MG TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/ABZOL10mgtabletkt_15_04_2025.pdf
ABIZOL 15 MG TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/ABZOL15mgtabletkt_15_04_2025.pdf
ABIZOL 20 MG TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/ABZOL20mgtabletkt_15_04_2025.pdf
ABIZOL 30 MG TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/onerilen1312kttemiz_02_12_2025.pdf
ABIZOL 5 MG TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/ABZOL5mgtabletkt_15_04_2025.pdf
ABIZOL EASYTAB 10MG AĞIZDA DAĞILAN TABLET,https://titck.gov.tr/storage/kubKtAttachments/cf6f277d92502.pdf
ABIZOL EASYTAB 10MG AĞIZDA DAĞILAN TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/ABZOLEASYTAB10mgazdada.tab.kt_15_04_2025.pdf
ABIZOL EASYTAB 15MG AĞIZDA DAĞILAN TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/ABZOLEASYTAB15mga.da.tab.kt_15_04_2025.pdf
ABİZOL EASYTAB 5 MG AĞIZDA DAĞILAN TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/ABZOLEASYTAB5mgazdadalantabletkt_13_06_2025.pdf
ABPAX 40MG ENTERİK KAPLI TABLET,https://titck.gov.tr/storage/kubKtAttachments/MQOwsTymhEwkmS.pdf
ABRYSVO 0.5 ML IM ENJEKSIYONLUK ÇöZELTI HAZıRLAMAK İçIN TOZ VE ÇöZüCü,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/2_06_11_2025.pdf
ABSTRAL 100 MCG DİL ALTI TABLET,https://titck.gov.tr/storage/Archive/2021/kubKtAttachments/TTCKONAYLIKTABSTRAL100_baf3ebcc-bf6f-40a3-9c29-4140e4de1919.pdf
ABSTRAL 200 MCG DİL ALTI TABLET,https://titck.gov.tr/storage/Archive/2021/kubKtAttachments/TTCKONAYLIKTABSTRAL200_3aa253fa-390a-4f0e-9ad7-8a1e5d68f8f4.pdf
ABSTRAL 400 MCG DİL ALTI TABLET,https://titck.gov.tr/storage/Archive/2021/kubKtAttachments/TTCKONAYLIKTABSTRAL400_0de371fc-8afa-4896-9411-b298c6cc6644.pdf
ABSTRAL 800 MCG DİL ALTI TABLET,https://titck.gov.tr/storage/Archive/2021/kubKtAttachments/TTCKONAYLIKTABSTRAL800_8bb20beb-a7d5-4f22-859c-0ef1a5eccd18.pdf
ABYGA 500 MG FİLM KAPLI TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/TTCKOnaylKTABYGA500_28_03_2025.pdf
ABYGA 250 MG TABLET,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/TTCKOnaylKTABYGA250_28_03_2025.pdf
ACARIS 100MG TABLET,https://titck.gov.tr/storage/kubKtAttachments/70dc732a79041.pdf
ACARIS 50MG TABLET,https://titck.gov.tr/storage/kubKtAttachments/be275e9940932.pdf
"ACCUSOL 35 HEMOFİLTRASYON, HEMODİYALİZ VE HEMODİYAFİLTRASYON İÇİN ÇÖZELTİ",https://titck.gov.tr/storage/kubKtAttachments/849ec7a333401.pdf
"ACCUSOL 35 POTASYUM 2 MMOL/L HEMOFİLTRASYON, HEMODİYALİZ VE HEMODİYAFİLTRASYON İÇİN ÇÖZELTİ",https://titck.gov.tr/storage/kubKtAttachments/801c3c8587762.pdf
"ACCUSOL 35 POTASYUM 4 MMOL/L HEMOFİLTRASYON, HEMODİYALİZ VE HEMODİYAFİLTRASYON İÇİN ÇÖZELTİ",https://titck.gov.tr/storage/kubKtAttachments/fc1ef43564793.pdf
"ACDKIDS PLUS 2000 IU+ 3333 IU+70 MG/ML ORAL DAMLA, ÇöZELTI",https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/yaynlanacakacdkds1312kttemiz_18_07_2025.pdf
ACE PLUS SELENYUM YUMUŞAK KAPSÜL,https://titck.gov.tr/storage/kubKtAttachments/a4d8679953941.pdf
ACECAP 20/200/200 MG YUMUşAK KAPSüL,https://titck.gov.tr/storage/Archive/2023/kubKtAttachments/uygunktacecap_10293eff-7a8f-4aa0-ab68-df17e9d9ea6a.pdf
ACEFOR 10MG TABLET,https://titck.gov.tr/storage/kubKtAttachments/LPeGXQrRKvPtAw.pdf
ACEFOR 20MG TABLET,https://titck.gov.tr/storage/kubKtAttachments/guzTmPc5L4DSdw.pdf
ACEPER 2 MG TABLET,https://titck.gov.tr/storage/kubKtAttachments/d163886353652.pdf
ACEPER 2MG TABLET,https://titck.gov.tr/storage/kubKtAttachments/d3a843fd37441.pdf
ACEPER 4 MG TABLET,https://titck.gov.tr/storage/kubKtAttachments/3117dd2a60807.pdf
ACEPER 4MG TABLET,https://titck.gov.tr/storage/kubKtAttachments/5331325185747.pdf
ACEPER 8 MG TABLET,https://titck.gov.tr/storage/kubKtAttachments/0d1d4d9639224.pdf
ACEPER 8MG TABLET,https://titck.gov.tr/storage/kubKtAttachments/0bfdd71451955.pdf
ACEPER PLUS 2MG/0.625MG TABLET,https://titck.gov.tr/storage/kubKtAttachments/wUrkA46NTjOox1.pdf
ACEPER PLUS 4MG/1.25MG TABLET,https://titck.gov.tr/storage/kubKtAttachments/G8siZ07boNQnMl.pdf
ACEPRİX 1 MG FİLM TABLET,https://titck.gov.tr/storage/kubKtAttachments/f0Ll99kcHeBWXW.pdf
"ACEPRİX 2,5 MG FİLM TABLET",https://titck.gov.tr/storage/kubKtAttachments/KEPcunr4D8OBry.pdf
"ACEPRİX 2,5 MG FİLM TABLET",https://titck.gov.tr/storage/kubKtAttachments/7c9ea45962093.pdf
ACEPRİX 5 MG FİLM TABLET,https://titck.gov.tr/storage/kubKtAttachments/jQh4chv94MMvll.pdf
ACEPRIX PLUS 5MG/12.5 MG FILM TABLET,https://titck.gov.tr/storage/kubKtAttachments/9MMpIyXjCLRxUs.pdf
ACESCAP YUMUŞAK KAPSÜL,https://titck.gov.tr/storage/kubKtAttachments/6RHDEJ1MwbUsnO.pdf
ACETUDİL FORTE 60 MG KAPSÜL,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/ACETUDLKT_30_06_2025.pdf
ACETUDIL 90 MG UZATILMIŞ SALIMLI SERT KAPSÜL,https://titck.gov.tr/storage/Archive/2025/kubKtAttachments/ACETUDL90mguzatlmsalmlsertkapslkt_11_07_2025.pdf
ACİDPASS 10/800/165 MG ÇİĞNEME TABLETİ,https://titck.gov.tr/storage/Archive/2021/kubKtAttachments/TTCKOnaylKTACDPAS_1cd6ead2-10bc-4bea-bf6e-6b9abec59aea.pdf
ACILIBRE 40MG IV ENJEKSIYONLUK LIYOFILIZE TOZ İÇEREN FLAKON,https://titck.gov.tr/storage/kubKtAttachments/9205003f87312.pdf
ACLABON 5MG/100ML İNFÜZYON ÇÖZELTİSİ İÇEREN FLAKON,https://titck.gov.tr/storage/kubKtAttachments/802986cf71037.pdf
